order,kr_filename,kr_url,bytes,role,has_korean_text,kr_text_content,en_filename,en_alt_text,en_text_content,action
28,thum_FUNGUS_Stadium_02_7d43f2cd-36cc-4aee-9ae7-518571ffae43.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_FUNGUS_Stadium_02_7d43f2cd-36cc-4aee-9ae7-518571ffae43.jpg,120405,gallery,,,,,,
29,FUNGUS_01-1.jpg,https://kr.sidiz.com/cdn/shop/files/FUNGUS_01-1.jpg,61479,detail,,,,,,
30,FUNGUS_01-2.jpg,https://kr.sidiz.com/cdn/shop/files/FUNGUS_01-2.jpg,66131,detail,,,,,,
31,FUNGUS_01-3.jpg,https://kr.sidiz.com/cdn/shop/files/FUNGUS_01-3.jpg,28814,detail,,,,,,
32,FUNGUS_01.jpg,https://kr.sidiz.com/cdn/shop/files/FUNGUS_01.jpg,100903,detail,,,,,,
33,FUNGUS_1.jpg,https://kr.sidiz.com/cdn/shop/files/FUNGUS_1.jpg,215906,detail,,,,,,
34,FUNGUS_1_1__01.jpg,https://kr.sidiz.com/cdn/shop/files/FUNGUS_1_1__01.jpg,299665,detail,,,,,,
35,FUNGUS_1_1__02.jpg,https://kr.sidiz.com/cdn/shop/files/FUNGUS_1_1__02.jpg,188704,detail,,,,,,
36,FUNGUS_1_1__03.jpg,https://kr.sidiz.com/cdn/shop/files/FUNGUS_1_1__03.jpg,218812,detail,,,,,,
37,FUNGUS_1_1__04.jpg,https://kr.sidiz.com/cdn/shop/files/FUNGUS_1_1__04.jpg,275152,detail,,,,,,
38,FUNGUS_2_9039339d-a051-47fb-8aa9-62cb10d5171f.jpg,https://kr.sidiz.com/cdn/shop/files/FUNGUS_2_9039339d-a051-47fb-8aa9-62cb10d5171f.jpg,115749,detail,,,,,,
39,FUNGUS_3.jpg,https://kr.sidiz.com/cdn/shop/files/FUNGUS_3.jpg,104498,detail,,,,,,
40,FUNGUS_HEAD_a3137f0a-90ea-4f6c-98f3-05d60f1afd67.jpg,https://kr.sidiz.com/cdn/shop/files/FUNGUS_HEAD_a3137f0a-90ea-4f6c-98f3-05d60f1afd67.jpg,435812,detail,,,,,,
41,FUNGUS_Head_M.jpg,https://kr.sidiz.com/cdn/shop/files/FUNGUS_Head_M.jpg,313705,detail,,,,,,
42,FUNGUS_Option1-1.jpg,https://kr.sidiz.com/cdn/shop/files/FUNGUS_Option1-1.jpg,21275,detail,,,,,,
43,FUNGUS_Option1.jpg,https://kr.sidiz.com/cdn/shop/files/FUNGUS_Option1.jpg,8367,detail,,,,,,
44,FUNGUS_Option2-1.jpg,https://kr.sidiz.com/cdn/shop/files/FUNGUS_Option2-1.jpg,21319,detail,,,,,,
45,FUNGUS_Option2.jpg,https://kr.sidiz.com/cdn/shop/files/FUNGUS_Option2.jpg,7749,detail,,,,,,
46,Img1_9522748f-b3b1-4172-8672-f7c65280fb6d.jpg,https://kr.sidiz.com/cdn/shop/files/Img1_9522748f-b3b1-4172-8672-f7c65280fb6d.jpg,8710,detail,,,,,,
47,Img2_887de1d2-d7bb-4a58-9a6e-9f3262fadf76.jpg,https://kr.sidiz.com/cdn/shop/files/Img2_887de1d2-d7bb-4a58-9a6e-9f3262fadf76.jpg,21319,detail,,,,,,
48,MN130Y_01_0cec7b4b-3be6-473f-a31a-2f1114b90443.jpg,https://kr.sidiz.com/cdn/shop/files/MN130Y_01_0cec7b4b-3be6-473f-a31a-2f1114b90443.jpg,15332,detail,,,,,,
49,MN130Y_02_371b5d3c-3830-45cb-af63-f0d334ca098f.jpg,https://kr.sidiz.com/cdn/shop/files/MN130Y_02_371b5d3c-3830-45cb-af63-f0d334ca098f.jpg,21486,detail,,,,,,
50,MN130_01_2843ca20-7cfb-40a2-b67c-0e4ec6c00d89.jpg,https://kr.sidiz.com/cdn/shop/files/MN130_01_2843ca20-7cfb-40a2-b67c-0e4ec6c00d89.jpg,15361,detail,,,,,,
51,MN130_02_cf77088f-7dc3-4cae-8f27-460812192cd6.jpg,https://kr.sidiz.com/cdn/shop/files/MN130_02_cf77088f-7dc3-4cae-8f27-460812192cd6.jpg,22516,detail,,,,,,
52,leather_1.jpg,https://kr.sidiz.com/cdn/shop/files/leather_1.jpg,396029,detail,,,,,,
53,leather_2.jpg,https://kr.sidiz.com/cdn/shop/files/leather_2.jpg,27896,detail,,,,,,
54,leather_3.jpg,https://kr.sidiz.com/cdn/shop/files/leather_3.jpg,23480,detail,,,,,,
55,leather_4.jpg,https://kr.sidiz.com/cdn/shop/files/leather_4.jpg,24248,detail,,,,,,
56,leather_5.jpg,https://kr.sidiz.com/cdn/shop/files/leather_5.jpg,363253,detail,,,,,,
57,leather_6.jpg,https://kr.sidiz.com/cdn/shop/files/leather_6.jpg,141624,detail,,,,,,
58,leather_7.jpg,https://kr.sidiz.com/cdn/shop/files/leather_7.jpg,188285,detail,,,,,,
59,leather_8.png,https://kr.sidiz.com/cdn/shop/files/leather_8.png,35637,detail,,,,,,
60,shop_mo.jpg,https://kr.sidiz.com/cdn/shop/files/shop_mo.jpg,124290,detail,,,,,,
61,shop_pc.jpg,https://kr.sidiz.com/cdn/shop/files/shop_pc.jpg,412439,detail,,,,,,
62,thum_FABRIC_SPRAY_INFINITY__01.jpg,https://kr.sidiz.com/cdn/shop/files/thum_FABRIC_SPRAY_INFINITY__01.jpg,39162,detail,,,,,,
63,thum_FUNGUS_10MADDISON_00_68188185-abd8-498a-9600-1649e86c3f0e.jpg,https://kr.sidiz.com/cdn/shop/files/thum_FUNGUS_10MADDISON_00_68188185-abd8-498a-9600-1649e86c3f0e.jpg,51520,detail,,,,,,
64,thum_FUNGUS_10MADDISON_01_e970348c-9163-43e6-b824-971fc9648648.jpg,https://kr.sidiz.com/cdn/shop/files/thum_FUNGUS_10MADDISON_01_e970348c-9163-43e6-b824-971fc9648648.jpg,48055,detail,,,,,,
65,thum_FUNGUS_10MADDISON_02_5bd6c772-ba04-499b-8298-ea8bf5804d74.jpg,https://kr.sidiz.com/cdn/shop/files/thum_FUNGUS_10MADDISON_02_5bd6c772-ba04-499b-8298-ea8bf5804d74.jpg,124829,detail,,,,,,
66,thum_FUNGUS_10MADDISON_02_c9bd3b53-6d54-41fb-9afe-2f4d784fcb9e.jpg,https://kr.sidiz.com/cdn/shop/files/thum_FUNGUS_10MADDISON_02_c9bd3b53-6d54-41fb-9afe-2f4d784fcb9e.jpg,183266,detail,,,,,,
67,thum_FUNGUS_14GRAY_00_4af791fb-36fd-4156-91c9-8d89d80292b0.jpg,https://kr.sidiz.com/cdn/shop/files/thum_FUNGUS_14GRAY_00_4af791fb-36fd-4156-91c9-8d89d80292b0.jpg,49456,detail,,,,,,
68,thum_FUNGUS_14GRAY_01_95340156-8819-4cb3-8445-21930cbfb7c1.jpg,https://kr.sidiz.com/cdn/shop/files/thum_FUNGUS_14GRAY_01_95340156-8819-4cb3-8445-21930cbfb7c1.jpg,47101,detail,,,,,,
69,thum_FUNGUS_14GRAY_02_00f1fe06-39b6-486a-9c79-56482fd3ea2a.jpg,https://kr.sidiz.com/cdn/shop/files/thum_FUNGUS_14GRAY_02_00f1fe06-39b6-486a-9c79-56482fd3ea2a.jpg,177729,detail,,,,,,
70,thum_FUNGUS_14GRAY_02_990705e1-6c4f-426d-84fd-f30449a36605.jpg,https://kr.sidiz.com/cdn/shop/files/thum_FUNGUS_14GRAY_02_990705e1-6c4f-426d-84fd-f30449a36605.jpg,116748,detail,,,,,,
71,thum_FUNGUS_1VICARIO_00_6d8794bd-5dc1-4785-99c5-b06b121253dd.jpg,https://kr.sidiz.com/cdn/shop/files/thum_FUNGUS_1VICARIO_00_6d8794bd-5dc1-4785-99c5-b06b121253dd.jpg,46737,detail,,,,,,
72,thum_FUNGUS_1VICARIO_01_3351b7a8-bec5-4bab-a9f8-c4d252af17ae.jpg,https://kr.sidiz.com/cdn/shop/files/thum_FUNGUS_1VICARIO_01_3351b7a8-bec5-4bab-a9f8-c4d252af17ae.jpg,45558,detail,,,,,,
73,thum_FUNGUS_1VICARIO_02_2fe5eb21-dbd5-43c3-b07e-9c8ea330f400.jpg,https://kr.sidiz.com/cdn/shop/files/thum_FUNGUS_1VICARIO_02_2fe5eb21-dbd5-43c3-b07e-9c8ea330f400.jpg,181199,detail,,,,,,
74,thum_FUNGUS_1VICARIO_02_ae63fdfd-d6b5-434e-8792-46410af87181.jpg,https://kr.sidiz.com/cdn/shop/files/thum_FUNGUS_1VICARIO_02_ae63fdfd-d6b5-434e-8792-46410af87181.jpg,117967,detail,,,,,,
75,thum_FUNGUS_37VANDEVEN_00_83ecd42f-b5c4-4007-abbb-913db34127a9.jpg,https://kr.sidiz.com/cdn/shop/files/thum_FUNGUS_37VANDEVEN_00_83ecd42f-b5c4-4007-abbb-913db34127a9.jpg,50653,detail,,,,,,
76,thum_FUNGUS_37VANDEVEN_01_bb583a65-45d8-49cc-801c-a5704c6ae1c6.jpg,https://kr.sidiz.com/cdn/shop/files/thum_FUNGUS_37VANDEVEN_01_bb583a65-45d8-49cc-801c-a5704c6ae1c6.jpg,49459,detail,,,,,,
77,thum_FUNGUS_37VANDEVEN_02_25752418-355d-47a4-a53e-2bd8ecf9922e.jpg,https://kr.sidiz.com/cdn/shop/files/thum_FUNGUS_37VANDEVEN_02_25752418-355d-47a4-a53e-2bd8ecf9922e.jpg,122366,detail,,,,,,
78,thum_FUNGUS_37VANDEVEN_02_d5687810-aee9-4fa6-abf9-dc2d4938b3ef.jpg,https://kr.sidiz.com/cdn/shop/files/thum_FUNGUS_37VANDEVEN_02_d5687810-aee9-4fa6-abf9-dc2d4938b3ef.jpg,185505,detail,,,,,,
79,thum_FUNGUS_7SON_00_5216975e-8d38-4a2c-8dec-3a654139ce27.jpg,https://kr.sidiz.com/cdn/shop/files/thum_FUNGUS_7SON_00_5216975e-8d38-4a2c-8dec-3a654139ce27.jpg,45983,detail,,,,,,
80,thum_FUNGUS_7SON_01_d1e2af11-c1d2-46e4-acf2-35234acfe7f8.jpg,https://kr.sidiz.com/cdn/shop/files/thum_FUNGUS_7SON_01_d1e2af11-c1d2-46e4-acf2-35234acfe7f8.jpg,46148,detail,,,,,,
