"url","handle","lastmod","image_title","image_loc"
"https://kr.sidiz.com/pages/aquatex-info","pages/aquatex-info","2026-04-17T16:19:11+09:00",,
"https://kr.sidiz.com/pages/the-p-goods","pages/the-p-goods","2026-04-17T16:19:11+09:00",,
"https://kr.sidiz.com/pages/copy-of-find-your-chair","pages/copy-of-find-your-chair","2026-04-17T16:19:11+09:00",,
"https://kr.sidiz.com/pages/test","pages/test","2026-04-17T16:19:11+09:00",,
"https://kr.sidiz.com/pages/find-your-chair-ver-3","pages/find-your-chair-ver-3","2026-04-17T16:19:11+09:00",,
"https://kr.sidiz.com/pages/find-your-chair","pages/find-your-chair","2026-04-17T16:19:12+09:00",,
"https://kr.sidiz.com/pages/find-your-chair-ver-4","pages/find-your-chair-ver-4","2026-04-17T16:19:12+09:00",,
"https://kr.sidiz.com/pages/shop-re-life","pages/shop-re-life","2026-04-17T16:19:12+09:00",,
"https://kr.sidiz.com/pages/t90-limited-palette-leather","pages/t90-limited-palette-leather","2026-04-17T16:19:12+09:00",,
"https://kr.sidiz.com/pages/21bf5abd3e04702663d901f97cebf87f","pages/21bf5abd3e04702663d901f97cebf87f","2026-04-17T16:19:12+09:00",,
"https://kr.sidiz.com/pages/living-dining","pages/living-dining","2026-04-17T16:19:12+09:00",,
"https://kr.sidiz.com/pages/t60","pages/t60","2026-04-17T16:19:12+09:00",,
"https://kr.sidiz.com/pages/sidiz_curation","pages/sidiz_curation","2026-04-17T16:31:24+09:00",,
"https://kr.sidiz.com/pages/premium-chair","pages/premium-chair","2026-08-20T13:27:25+09:00",,
"https://kr.sidiz.com/pages/as-main","pages/as-main","2026-04-17T16:19:13+09:00",,
"https://kr.sidiz.com/pages/sidiz_easyrepair","pages/sidiz_easyrepair","2026-04-17T16:19:13+09:00",,
"https://kr.sidiz.com/pages/find-your-chair-ver-5","pages/find-your-chair-ver-5","2026-04-17T16:19:14+09:00",,
"https://kr.sidiz.com/pages/article","pages/article","2026-04-17T16:19:13+09:00",,
"https://kr.sidiz.com/pages/muuve-your-color","pages/muuve-your-color","2026-05-07T16:15:51+09:00",,
"https://kr.sidiz.com/pages/sidiz-chair-overview","pages/sidiz-chair-overview","2026-08-18T18:44:18+09:00",,
