template,type,kr_url
ega,image,"https://kr.sidiz.com/cdn/shop/files/EGA_Option1.jpg,https://kr.sidiz.com/cdn/shop/files/EGA_Option1-1.jpg"
ega,image,"https://kr.sidiz.com/cdn/shop/files/EGA_Option2.jpg,https://kr.sidiz.com/cdn/shop/files/EGA_Option2-1.jpg"
ega,image,"https://kr.sidiz.com/cdn/shop/files/EGA_Option3.jpg,https://kr.sidiz.com/cdn/shop/files/EGA_Option3-1.jpg"
ega,image,"https://kr.sidiz.com/cdn/shop/files/EGA_Option4.jpg,https://kr.sidiz.com/cdn/shop/files/EGA_Option4-1.jpg"
ega,image,https://kr.sidiz.com/cdn/shop/files/EGA_m2.jpg
ega,image,"https://kr.sidiz.com/cdn/shop/files/Img1_58304cce-df00-4472-958b-1aedad262113.jpg,https://kr.sidiz.com/cdn/shop/files/Img2_28246805-ceb5-4f6b-9e70-1b9c1631222f.jpg"
ega,image,https://kr.sidiz.com/cdn/shop/files/Img_270af5b8-4e3d-4df3-abab-1005bffa942a.jpg
ega,image,https://kr.sidiz.com/cdn/shop/files/Img_33a80ad4-98bb-4b72-90eb-fdd61d7448b5.jpg
ega,image,https://kr.sidiz.com/cdn/shop/files/Img_4_3_2_ffa4e9a0-6704-46d5-a283-82665ca08239.jpg
ega,image,https://kr.sidiz.com/cdn/shop/files/Img_4_3_eb94f75e-ca36-481b-90b8-f74b7c0eecf4.jpg
ega,image,https://kr.sidiz.com/cdn/shop/files/LINIE_3_2__01_2ec94a7d-2da6-43d7-8617-10d7947a6b5a.jpg
ega,image,https://kr.sidiz.com/cdn/shop/files/LINIE_3_2__02_c71d3fb1-9080-451d-86d3-9844904cb1bb.jpg
ega,image,https://kr.sidiz.com/cdn/shop/files/LINIE_3_2__03_05190c7e-30b1-4582-94f3-7f8e4a682f25.jpg
ega,image,https://kr.sidiz.com/cdn/shop/files/LINIE_3_2__04_2006eea4-afc9-4e01-9139-d09af5072f6e.jpg
ega,image,https://kr.sidiz.com/cdn/shop/files/LINIE_3_2__05_e91389ef-4def-4899-9a77-5e3ecb7f768e.jpg
ega,image,https://kr.sidiz.com/cdn/shop/files/LINIE_3_2__06_b9ebfe48-c5b3-435a-a86a-308c85539868.jpg
ega,image,https://kr.sidiz.com/cdn/shop/files/TN601FEY_01_71a4bd3d-2107-401f-aed4-cc89767b8b6b.jpg
ega,image,https://kr.sidiz.com/cdn/shop/files/TN601FEY_02_0d8f3ede-bcc1-4a2c-a7ed-7f2f36eba019.jpg
ega,image,https://kr.sidiz.com/cdn/shop/files/TN601FE_01_2b686019-f72d-415b-b8d1-60d9cf7fc3b2.jpg
